Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,10.10534763
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Eastern and Southern,AFE,5.99795587307205
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Western and Central,AFW,3.85575400508979
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,6.46411896
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,6.96321011
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,6.91586447
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,2.60579467
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,5.27965546
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Arab World,ARB,4.99445971932311
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,10.22933674
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,10.12
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,10.18225861
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,10.37
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan,AZE,4.34
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The",BHS,5.16048241
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bahrain,BHR,4.97671938
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh,BGD,2.27217698
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Barbados,BRB,6.83201313
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belarus,BLR,6.07
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belgium,BEL,10.79745102
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belize,BLZ,4.65365601
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Benin,BEN,2.72813416
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bermuda,BMU,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bhutan,BTN,3.75701189
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bolivia,BOL,6.55064964
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bosnia and Herzegovina,BIH,9.24
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Botswana,BWA,6.10287762
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,8.90929985
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,British Virgin Islands,VGB,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,2.38708901
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bulgaria,BGR,7.39
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burkina Faso,BFA,5.13192415
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burundi,BDI,6.29022646
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cabo Verde,CPV,4.82334185
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,6.19431591
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cameroon,CMR,3.59505081
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,10.73869705
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Caribbean small states,CSS,5.26890989420042
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cayman Islands,CYM,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central African Republic,CAF,5.03434181
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central Europe and the Baltics,CEB,6.52053876182678
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chad,TCD,4.52395248
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Channel Islands,CHI,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chile,CHL,8.3513937
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,4.93827963
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Colombia,COL,7.52338552
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Comoros,COM,4.60089922
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Dem. Rep.",COD,3.74785447
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Rep.",COG,2.45668483
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Costa Rica,CRI,7.59196234
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cote d'Ivoire,CIV,3.2198832
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Croatia,HRV,6.69
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cuba,CUB,12.81401348
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Curacao,CUW,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cyprus,CYP,6.79
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Czechia,CZE,7.36897945
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Denmark,DNK,10.34
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Djibouti,DJI,3.3475771
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominica,DMA,5.15941811
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominican Republic,DOM,4.72216797
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Early-demographic dividend,EAR,5.13073702711128
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,EAS,6.50054131795776
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (excluding high income),EAP,4.71850211141394
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,4.71869960220172
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ecuador,ECU,7.60513353
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Egypt, Arab Rep.",EGY,5.06153202
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,El Salvador,SLV,8.75833225
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Equatorial Guinea,GNQ,2.34058356
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eritrea,ERI,4.45034695
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Estonia,EST,6.64135027
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eswatini,SWZ,7.05855274
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,3.82316828
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Euro area,EMU,10.2202375758512
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,ECS,9.27008398754553
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (excluding high income),ECA,4.70758928983435
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,5.23125818700775
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,European Union,EUU,9.96018341644863
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Faroe Islands,FRO,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fiji,FJI,3.32468939
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Finland,FIN,9.65
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fragile and conflict affected situations,FCS,4.45282452421243
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,France,FRA,11.44817352
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,French Polynesia,PYF,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gabon,GAB,2.65743947
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Gambia, The",GMB,3.1761291
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Georgia,GEO,7.42
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Germany,DEU,11.19047737
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ghana,GHA,4.5429678
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Gibraltar,GIB,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greece,GRC,8.22004509
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Greenland,GRL,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Grenada,GRD,4.64675617
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guam,GUM,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guatemala,GTM,6.00602007
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea,GIN,5.80919266
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea-Bissau,GNB,8.13228226
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guyana,GUY,4.02264786
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Haiti,HTI,5.07518148
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Heavily indebted poor countries (HIPC),HPC,5.03990377145669
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,High income,HIC,12.0508110818507
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Honduras,HND,7.4837904
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Hong Kong SAR, China",HKG,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Hungary,HUN,6.85
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IBRD only,IBD,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iceland,ISL,8.07
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA & IBRD total,IBT,5.28493625176501
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA blend,IDB,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA only,IDX,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA total,IDA,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,3.6
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,2.92428517
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Iran, Islamic Rep.",IRN,7.53311825
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iraq,IRQ,3.15587044
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ireland,IRL,7.33597517
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Isle of Man,IMN,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Israel,ISR,7.02
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Italy,ITA,8.86
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jamaica,JAM,5.62470436
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,10.75
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jordan,JOR,7.4609561
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kazakhstan,KAZ,3.04
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kenya,KEN,4.76439571
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kiribati,KIR,8.11
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Dem. People's Rep.",PRK,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Rep.",KOR,6.58926058
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kosovo,XKX,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kuwait,KWT,4.21497965
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kyrgyz Republic,KGZ,7.15
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,2.45366454
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Late-demographic dividend,LTE,5.46083926224524
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,LCN,7.84477494049094
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean (excluding high income),LAC,7.84618793052761
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,7.76350682324145
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latvia,LVA,5.65
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Least developed countries: UN classification,LDC,4.26405980430456
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lebanon,LBN,7.41596651
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lesotho,LSO,9.2965641
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liberia,LBR,10.46927643
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Libya,LBY,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liechtenstein,LIE,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lithuania,LTU,6.49
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low & middle income,LMY,5.24314012501913
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low income,LIC,5.41994348154681
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lower middle income,LMC,3.91574993382916
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Luxembourg,LUX,5.08
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Macao SAR, China",MAC,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Madagascar,MDG,5.0062542
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malawi,MWI,6.62879086
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,3.82201481
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Maldives,MDV,8.73
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mali,MLI,4.11143351
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malta,MLT,8.9
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Marshall Islands,MHL,15.33984375
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritania,MRT,3.67363763
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritius,MUS,5.55042362
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mexico,MEX,5.72277355
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Micronesia, Fed. Sts.",FSM,12.46286297
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa,MEA,5.52668184624732
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (excluding high income),MNA,5.98688588294723
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,5.98688588294723
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle income,MIC,5.24056447514092
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Moldova,MDA,8.56
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Monaco,MCO,4.31544638
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mongolia,MNG,4.23154545
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Montenegro,MNE,9.02
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Morocco,MAR,5.10435581
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mozambique,MOZ,6.71663332
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,5.48
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Namibia,NAM,9.98109627
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nauru,NRU,14.00562382
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nepal,NPL,5.47
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Netherlands,NLD,10.32
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Caledonia,NCL,..
